,PetID,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,State,Quantity,Fee,VideoAmt,PhotoAmt,AdoptionSpeed
2954,dd62a2e7f,Dog,BLU,2,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Medium,Yes,Yes,No,Healthy,Johor,1,350,0,2.0,3
2955,85332d295,Cat,Kittie Girl,2,Domestic Short Hair,Domestic Short Hair,Female,Black,White,White,Small,Short,No,Yes,No,Healthy,Pulau Pinang,1,0,0,3.0,1
2956,9acf4992b,Cat,Still Water,1,Siamese,Siamese,Female,Brown,Gray,White,Small,Medium,No,No,No,Healthy,Melaka,1,0,0,5.0,3
2957,468ba458d,Cat,Mikka,3,Domestic Short Hair,Domestic Short Hair,Female,Yellow,White,White,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,2.0,2
2958,104c799db,Dog,Black Puppies,2,Mixed Breed,Mixed Breed,Mixed,Black,Black,Black,Medium,Short,NA,NA,NA,Healthy,Negeri Sembilan,6,0,0,1.0,4
2959,e83e05a06,Cat,Sasha,24,Bengal,Siamese,Female,Gray,Gray,Gray,Large,Medium,NA,Yes,Yes,Healthy,Kuala Lumpur,1,150,0,1.0,4
2960,99459c30d,Dog,Scooby,1,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,5.0,1
2961,889ae00e3,Dog,Zone A3 P6,2,Mixed Breed,Mixed Breed,Male,Black,Brown,White,Small,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,2.0,4
2962,d1a11cf42,Dog,Still Water,1,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,Yes,Yes,NA,Healthy,Selangor,1,0,0,4.0,2
2963,b5b9449db,Cat,Oren,3,Domestic Medium Hair,Domestic Medium Hair,Female,Cream,Gray,White,Medium,Medium,Yes,No,No,Healthy,Selangor,1,0,0,5.0,2
2964,26c3a9079,Cat,Jim,2,Domestic Short Hair,Domestic Short Hair,Male,Brown,Cream,White,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,2.0,3
2965,2cb9d0599,Cat,Siblings,5,Chartreux,Chartreux,Mixed,Gray,Gray,Gray,Medium,Medium,No,NA,NA,Healthy,Selangor,5,0,0,0.0,4
2966,78c3c7f21,Dog,Apple,3,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,9.0,3
2967,64904cb52,Dog,Jasper,2,Mixed Breed,Mixed Breed,Male,Brown,White,White,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,4.0,2
2968,e2f39a17e,Cat,Ginger,72,Domestic Short Hair,Domestic Short Hair,Female,Golden,Yellow,White,Small,Short,No,No,Yes,Healthy,Selangor,1,0,0,2.0,2
2969,fa323e99f,Cat,B,3,Domestic Medium Hair,Domestic Medium Hair,Female,Brown,Brown,Brown,Small,Medium,No,No,No,Healthy,Kuala Lumpur,1,0,0,2.0,1
2970,50d766c25,Cat,Tiny Three,0,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Brown,White,Medium,Short,No,No,No,Healthy,Johor,3,0,0,2.0,1
2971,d6f0972d4,Cat,Herb And Peach,4,Domestic Short Hair,Domestic Short Hair,Female,Golden,Gray,Gray,Medium,Short,No,No,No,Healthy,Pulau Pinang,2,0,0,3.0,3
2972,37f8a39c4,Cat,No Name,1,Domestic Short Hair,Domestic Short Hair,Male,Black,Black,Black,Small,Short,No,No,No,Healthy,Selangor,1,0,0,1.0,4
2973,50f87522f,Dog,Bob Marley,6,Golden Retriever,Golden Retriever,Female,Golden,Golden,Golden,Large,Long,No,No,No,Healthy,Melaka,1,0,1,5.0,1
2974,b4b4969b2,Dog,Kin,5,Terrier,Mixed Breed,Female,White,White,White,Medium,Medium,No,No,No,Healthy,Selangor,1,50,0,4.0,2
2975,d1be4f433,Dog,Milo & Squiggles,60,Chihuahua,Jack Russell Terrier,Mixed,Black,Brown,White,Small,Short,Yes,Yes,Yes,Healthy,Selangor,2,0,0,4.0,3
2976,7982ae716,Cat,Jinggo,24,Domestic Long Hair,Domestic Long Hair,Male,White,White,White,Large,Long,No,No,No,Healthy,Selangor,1,0,0,2.0,2
2977,4eb9c5991,Dog,Biddy,1,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,9.0,3
2978,0532bf9d3,Cat,Luna,2,Domestic Short Hair,Domestic Short Hair,Female,White,White,White,Medium,Short,No,Yes,No,Healthy,Selangor,1,0,0,1.0,2
2979,731a2ef80,Dog,Dumbo,5,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Perak,1,0,0,4.0,3
2980,7d930d08c,Dog,Pinky,3,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,7.0,2
2981,f00413d87,Cat,Baby Teddy,2,Siamese,Siamese,Male,Brown,Brown,Brown,Medium,Medium,No,Yes,No,Healthy,Selangor,1,0,0,2.0,1
2982,30fff49fd,Cat,Elsa,2,Domestic Medium Hair,Domestic Medium Hair,Female,Black,Yellow,White,Medium,Medium,No,No,No,Healthy,Selangor,1,100,0,4.0,2
2983,b1a6fb38c,Dog,Robert (In Cheras Area),24,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Medium,NA,NA,Yes,Healthy,Kuala Lumpur,1,0,0,0.0,4
2984,207298884,Dog,2 Females Spotted Brown White Puppies,3,Mixed Breed,Mixed Breed,Female,Brown,Gray,White,Medium,Short,Yes,Yes,No,Healthy,Kuala Lumpur,2,0,1,3.0,4
2985,d81afce4f,Dog,Choco,2,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,3.0,1
2986,216840542,Dog,Still Water,2,Mixed Breed,Mixed Breed,Mixed,Black,Brown,White,Medium,Medium,No,No,No,Healthy,Perak,5,0,0,6.0,4
2987,c28b3a879,Cat,BINKY,4,Domestic Short Hair,Domestic Short Hair,Male,Golden,Golden,Golden,Medium,Short,No,Yes,No,Healthy,Selangor,1,0,0,5.0,2
2988,f220ae6cd,Dog,Panda,1,Collie,Mixed Breed,Male,Black,White,White,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,5.0,1
2989,bb76bfc79,Cat,Donna,48,Domestic Short Hair,Domestic Short Hair,Female,Gray,White,White,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,5.0,4
2990,19b7a9e47,Dog,Sookie Sue,5,Mixed Breed,Mixed Breed,Female,Golden,Cream,Cream,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,3.0,2
2991,902087c95,Cat,Mentos,21,Tabby,Tabby,Male,Golden,White,White,Large,Short,Yes,Yes,NA,Healthy,Kuala Lumpur,1,0,0,6.0,3
2992,4dd8dd451,Dog,Lex,2,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Small,Short,Yes,Yes,No,Healthy,Pulau Pinang,1,0,0,5.0,3
2993,0acd95320,Dog,Wonder,39,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,Yes,Yes,NA,Healthy,Selangor,1,0,0,1.0,3
2994,f13821512,Dog,Mocha,2,Mixed Breed,Mixed Breed,Male,Brown,Cream,Cream,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,4.0,2
2995,c2e4ec0c2,Dog,Border Collie & Terrier Mixed Puppies,1,Border Collie,Terrier,Mixed,Black,Cream,White,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,4,0,5,5.0,1
2996,f726dd490,Dog,Maxy,9,Mixed Breed,Mixed Breed,Female,White,White,White,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,0,2.0,4
2997,7c8053564,Cat,Cute Black Kitten For Adoption,2,Domestic Short Hair,Domestic Medium Hair,Male,Black,Gray,Gray,Medium,Short,No,NA,No,Healthy,Selangor,1,0,0,8.0,3
2998,695925a2a,Dog,Still Water,2,Mixed Breed,Mixed Breed,Female,Black,White,White,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,1,0,0,2.0,1
2999,8ad59da0e,Dog,Happy,16,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Medium,NA,NA,NA,Healthy,Pahang,1,0,0,1.0,4
3000,c62de8a15,Cat,Kitty 6,2,Domestic Short Hair,Domestic Short Hair,Female,Black,Cream,White,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,1.0,3
3001,dfd0fbde8,Dog,Pitiful MUMMY,36,Mixed Breed,Mixed Breed,Female,Yellow,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,4.0,4
3002,83705e888,Cat,Sandy,12,Domestic Medium Hair,Domestic Medium Hair,Female,Yellow,Cream,Cream,Small,Medium,NA,NA,No,Healthy,Kuala Lumpur,1,0,0,3.0,2
3003,c2fe3684a,Dog,Opal,5,Terrier,Shih Tzu,Female,Black,Brown,Gray,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,2.0,1
3004,1877d9a0d,Cat,CC,4,American Shorthair,Abyssinian,Female,Brown,Yellow,Yellow,Small,Medium,NA,NA,Yes,Healthy,Pulau Pinang,1,0,0,4.0,3
3005,ddf06fabf,Dog,Lily,48,Golden Retriever,Golden Retriever,Female,Golden,Cream,Cream,Medium,Medium,Yes,No,Yes,Healthy,Selangor,1,0,0,2.0,2
3006,c1d58a395,Dog,Young Female Rottie,24,Rottweiler,Rottweiler,Female,Black,Black,Black,Medium,Short,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,0.0,2
3007,5ec697bec,Cat,Fendi N Felix,1,Domestic Short Hair,Domestic Short Hair,Mixed,Gray,Gray,Gray,Small,Short,No,Yes,No,Healthy,Perak,2,0,0,5.0,4
3008,3c1cc2c24,Dog,DUMBLI,6,Mixed Breed,Mixed Breed,Male,Black,Black,Black,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,3.0,3
3009,5af078de1,Cat,Girl,2,Tabby,Tabby,Female,Brown,White,White,Medium,Short,No,Yes,No,Healthy,Perak,1,0,0,3.0,3
3010,5b22f97b3,Dog,Star@Thursday,2,Labrador Retriever,Terrier,Male,Black,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,10.0,3
3011,0fe10670c,Cat,Smokey,1,Domestic Short Hair,Domestic Short Hair,Female,Gray,Gray,Gray,Small,Short,No,No,No,Healthy,Selangor,1,0,0,6.0,1
3012,1fc6f94cc,Dog,Dudu,84,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,0,1.0,4
3013,282f456cb,Dog,Aleck,1,Labrador Retriever,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,NA,NA,No,Healthy,Selangor,1,0,0,1.0,3
3014,5b269c6aa,Cat,Garfild,1,Domestic Short Hair,Domestic Short Hair,Female,Brown,Brown,Brown,Small,Short,No,Yes,No,Healthy,Selangor,6,0,0,1.0,2
3015,baf49463a,Dog,Cocker Spaniel Mummy & Puppies,1,Cocker Spaniel,Mixed Breed,Mixed,Black,Brown,White,Medium,Short,No,No,No,Healthy,Selangor,2,100,0,6.0,3
3016,db4a0242a,Dog,URGENT: Chyna Needs A Home,24,Mixed Breed,Boxer,Female,Brown,Brown,Brown,Large,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,3.0,3
3017,3760c73b1,Dog,Lila,2,Mixed Breed,Mixed Breed,Female,Black,White,White,Small,Medium,No,Yes,No,Healthy,Selangor,1,0,0,1.0,4
3018,6198e214e,Cat,Blue,12,Domestic Medium Hair,Domestic Medium Hair,Male,Gray,White,White,Small,Medium,NA,NA,NA,Minor Injury,Kuala Lumpur,1,1,0,5.0,2
3019,eef0fa0ef,Cat,Still Water,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Brown,White,Small,Short,No,No,No,Healthy,Selangor,2,0,0,3.0,2
3020,53037f091,Dog,FunkieGirl And HiphopGirl,6,Mixed Breed,Mixed Breed,Mixed,Brown,Golden,Golden,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,2,0,0,8.0,4
3021,6316b9647,Dog,Hair-ball,12,Poodle,Poodle,Male,Cream,Cream,Cream,Small,Medium,NA,NA,No,Healthy,Selangor,1,0,0,2.0,2
3022,80e8288c9,Dog,Snowy,24,Poodle,Poodle,Female,White,White,White,Small,Short,Yes,Yes,No,Healthy,Melaka,1,200,0,5.0,0
3023,8abd212c6,Cat,Robin And Summer Tree,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Yellow,White,Small,Short,No,Yes,No,Healthy,Selangor,3,0,0,9.0,3
3024,082c6dee3,Cat,Still Water,1,Siamese,Siamese,Mixed,Black,Golden,White,Small,Short,No,No,No,Healthy,Selangor,10,0,0,3.0,2
3025,2e65d72c2,Cat,1 Persian Mixed Kitten,3,Persian,Domestic Short Hair,Female,Black,Golden,White,Medium,Medium,No,No,No,Healthy,Selangor,1,50,0,5.0,2
3026,46b2782d5,Dog,Doggie R2,5,Mixed Breed,Mixed Breed,Female,Yellow,Cream,White,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,1,0,0,2.0,2
3027,61c5987cd,Cat,Twins !! - Rese,1,Domestic Medium Hair,Domestic Medium Hair,Mixed,Gray,White,White,Medium,Medium,No,No,No,Healthy,Selangor,2,0,0,25.0,1
3028,2f3ff5116,Dog,Lucky,9,Mixed Breed,Mixed Breed,Male,Black,Black,Black,Medium,Medium,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,2.0,2
3029,cbd066eaf,Cat,4 Kitten From Bangi,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Cream,Gray,Medium,Medium,No,No,No,Healthy,Selangor,4,0,0,4.0,2
3030,5e7b512bb,Dog,Blackie,2,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Medium,Medium,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,2.0,4
3031,ce2319154,Cat,Brown Tabby,4,Domestic Short Hair,Domestic Short Hair,Female,Brown,Brown,Brown,Small,Short,Yes,Yes,No,Healthy,Pahang,1,100,0,1.0,4
3032,215b68785,Cat,S&P,60,Manx,Domestic Short Hair,Female,Black,Gray,White,Medium,Medium,Yes,Yes,Yes,Healthy,Pulau Pinang,2,0,0,2.0,3
3033,11948e0ef,Dog,Isaac,12,Jack Russell Terrier,Mixed Breed,Male,Brown,White,White,Medium,Medium,Yes,Yes,Yes,Healthy,Perak,1,0,0,6.0,4
3034,fd7811109,Dog,We Are No.1 To 7,1,Sheep Dog,Terrier,Mixed,Gray,Gray,Gray,Medium,Medium,No,NA,No,Healthy,Kuala Lumpur,7,250,0,1.0,4
3035,bfdde77ff,Dog,Daisy,1,Mixed Breed,Mixed Breed,Female,Cream,Cream,Cream,Small,Short,No,No,No,Healthy,Selangor,1,0,0,1.0,2
3036,99a705efe,Cat,Neemo,3,Domestic Short Hair,Domestic Short Hair,Male,Brown,Gray,White,Medium,Short,NA,NA,NA,Healthy,Kuala Lumpur,1,0,0,0.0,4
3037,48088c0e2,Cat,Inez,4,Domestic Short Hair,Domestic Short Hair,Female,Black,White,White,Small,Short,No,Yes,No,Healthy,Pulau Pinang,1,0,0,3.0,4
3038,944a5fec2,Dog,Cheque,84,Mixed Breed,Schnauzer,Male,Gray,White,White,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,100,0,1.0,2
3039,c47497b30,Cat,Jennifer's Kitten 4,4,Domestic Short Hair,Domestic Short Hair,Female,Cream,Gray,Gray,Medium,Short,NA,NA,No,Healthy,Selangor,1,50,0,1.0,4
3040,0c3cb3d44,Dog,Timmy,96,Dachshund,Poodle,Male,Gray,Gray,Gray,Small,Long,No,No,No,Healthy,Pulau Pinang,1,20,0,1.0,2
3041,858f4c013,Cat,Still Water,1,Domestic Short Hair,Domestic Short Hair,Mixed,Brown,Cream,White,Small,Short,No,No,No,Healthy,Selangor,7,0,0,1.0,1
3042,7b1211e80,Dog,Coco,24,Labrador Retriever,Mixed Breed,Female,Brown,Brown,Brown,Large,Short,Yes,Yes,NA,Healthy,Pulau Pinang,1,100,0,2.0,4
3043,6ae5689d3,Dog,Still Water,1,Mixed Breed,Mixed Breed,Mixed,Black,Brown,White,Medium,Short,No,No,No,Healthy,Selangor,4,0,0,2.0,2
3044,ed8e10562,Cat,Still Water,5,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Gray,White,Small,Short,No,No,No,Healthy,Selangor,4,0,0,6.0,3
3045,6ac38f654,Cat,Georgy (ä½å©),5,Domestic Short Hair,Domestic Short Hair,Male,Yellow,White,White,Medium,Short,No,Yes,No,Healthy,Selangor,1,150,0,5.0,2
3046,4b69bf0e7,Dog,Guai Guai,1,Mixed Breed,Mixed Breed,Female,Black,Brown,Golden,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,5.0,2
3047,a94db6dc4,Cat,Winks,2,Domestic Short Hair,Domestic Short Hair,Male,Yellow,White,White,Small,Short,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,5.0,3
3048,62613fb88,Dog,Girlgirl,96,Great Dane,Great Dane,Female,Black,Brown,Cream,Large,Short,NA,NA,NA,Healthy,Johor,1,0,0,2.0,1
3049,f05a5801b,Cat,Still Water,6,Tuxedo,Tuxedo,Female,Brown,Golden,Yellow,Medium,Medium,NA,NA,Yes,Healthy,Selangor,1,0,0,2.0,4
3050,ad160afc4,Dog,Schnauzer,24,Schnauzer,Schnauzer,Female,Black,Brown,Cream,Medium,Long,Yes,Yes,NA,Healthy,Johor,1,0,0,0.0,1
3051,435bb3995,Dog,3 Male Black Pups,2,Mixed Breed,Mixed Breed,Male,Black,Black,Black,Medium,Short,No,No,No,Healthy,Selangor,3,0,0,1.0,0
3052,f7c487e58,Dog,Jenny,12,Mixed Breed,Mixed Breed,Female,Brown,Golden,Golden,Medium,Short,No,No,Yes,Healthy,Selangor,1,0,0,5.0,4
3053,037b1c131,Dog,Still Water,1,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,4.0,1
3054,dd9bf8c28,Cat,Lola,36,Domestic Short Hair,Domestic Short Hair,Female,Brown,Cream,White,Large,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,2.0,2
3055,776f7e340,Dog,Tutu,3,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,3.0,2
3056,6846c8719,Cat,Mini,2,Siamese,Domestic Short Hair,Female,Brown,White,White,Small,Medium,NA,NA,No,Healthy,Selangor,1,0,0,3.0,2
3057,0008c5398,Cat,Ollie,6,Domestic Medium Hair,Domestic Medium Hair,Male,Yellow,White,White,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,100,0,6.0,3
3058,81d404558,Dog,Coco,4,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,No,No,No,Healthy,Selangor,2,0,0,2.0,4
3059,fd9489e42,Cat,Louie,15,Domestic Short Hair,Domestic Short Hair,Male,Black,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,1.0,4
3060,de61ca522,Dog,Bambi,8,Mixed Breed,Mixed Breed,Female,Gray,White,White,Small,Short,Yes,Yes,Yes,Healthy,Pulau Pinang,1,0,0,4.0,4
3061,68a4cd579,Dog,Hunt,2,Mixed Breed,Mixed Breed,Female,Black,Cream,Cream,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,4.0,1
3062,ff47b9a27,Dog,White Tip,2,Mixed Breed,Mixed Breed,Male,Black,White,White,Medium,Short,No,No,No,Healthy,Johor,1,1,0,9.0,1
3063,e985acab0,Dog,Still Water,1,Mixed Breed,Mixed Breed,Mixed,Black,Brown,Brown,Small,Short,No,No,No,Healthy,Negeri Sembilan,7,0,0,5.0,4
3064,25fce0465,Dog,FeiMooi,3,Mixed Breed,Mixed Breed,Female,Brown,Cream,Cream,Medium,Medium,No,No,No,Healthy,Selangor,1,0,1,4.0,4
3065,585a705fc,Dog,Fei Fei,48,Poodle,Poodle,Male,Brown,Brown,Brown,Medium,Short,NA,NA,No,Minor Injury,Kuala Lumpur,1,0,0,2.0,1
3066,ba433a9d3,Cat,Butter,5,Domestic Medium Hair,Domestic Medium Hair,Male,Golden,Cream,Cream,Medium,Medium,No,Yes,No,Healthy,Perak,1,0,0,1.0,4
3067,455d243eb,Cat,Mixy,3,Domestic Short Hair,Domestic Short Hair,Female,Black,White,White,Small,Short,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,3.0,3
3068,76c073021,Dog,Little Eyebrow,1,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,1,0,0,5.0,2
3069,09898b12e,Dog,Shero,2,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,1,5.0,2
3070,813bfdc93,Cat,2 White Toes Tiger,1,Domestic Short Hair,Domestic Short Hair,Male,Black,Gray,Gray,Medium,Short,No,No,No,Healthy,Selangor,1,50,0,4.0,1
3071,01ce66bd5,Cat,2 Kittens For Adoption.,2,Domestic Short Hair,Domestic Short Hair,Male,Black,White,White,Small,Short,No,No,NA,Healthy,Kuala Lumpur,2,0,0,5.0,1
3072,39afc4a19,Dog,Tony,17,Rottweiler,Rottweiler,Male,Black,Black,Black,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,0.0,2
3073,0ae5f9681,Cat,Mix Persian,17,Persian,Persian,Female,Cream,White,White,Medium,Medium,No,No,No,Healthy,Selangor,1,40,0,3.0,2
3074,bfa54aa27,Dog,Unamed,3,Mixed Breed,Mixed Breed,Mixed,Brown,Cream,Cream,Medium,Medium,No,No,No,Healthy,Selangor,2,0,0,1.0,2
3075,3bc84c4a9,Dog,Vic-tor,12,Mixed Breed,Shar Pei,Male,Black,Cream,Cream,Medium,Short,NA,NA,No,Healthy,Selangor,1,0,0,1.0,2
3076,d7d1cf92c,Dog,Girl,72,Spitz,Spitz,Female,White,White,White,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,3.0,2
3077,220e9aa26,Dog,Gigi,36,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Large,Short,Yes,Yes,No,Healthy,Melaka,1,0,0,4.0,4
3078,269caf235,Dog,Golden Retriever,84,Golden Retriever,Golden Retriever,Female,Golden,White,White,Medium,Long,Yes,Yes,No,Healthy,Pulau Pinang,1,0,0,2.0,2
3079,0a30968a3,Dog,Still Water,1,Mixed Breed,Mixed Breed,Mixed,Black,Brown,White,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,4,0,0,1.0,1
3080,e625fc4f4,Dog,Bovril,2,Mixed Breed,Mixed Breed,Female,Black,White,White,Medium,Medium,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,1.0,3
3081,099115d38,Dog,Sarah,1,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,1.0,2
3082,22f3c3543,Cat,Next,4,Domestic Short Hair,Domestic Medium Hair,Male,Black,White,White,Medium,Medium,Yes,Yes,No,Healthy,Pulau Pinang,1,0,0,3.0,3
3083,97450a196,Cat,Priti,3,Domestic Medium Hair,Domestic Medium Hair,Female,Golden,White,White,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,1,0,0,3.0,2
3084,fe7e662c5,Dog,Still Water,3,Rottweiler,Mixed Breed,Male,Black,Black,Black,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,2.0,3
3085,41ee53918,Cat,Mex,3,Tabby,Tabby,Female,Black,Brown,White,Small,Short,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,3.0,2
3086,bd4059588,Dog,"Golddy, Minnie",1,Mixed Breed,Mixed Breed,Mixed,Golden,Cream,Cream,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,2,0,0,1.0,4
3087,f41a7de83,Dog,Doggie2_Selangor Area,8,Mixed Breed,Mixed Breed,Female,Gray,Gray,Gray,Medium,Short,Yes,Yes,Yes,Healthy,Johor,1,0,0,2.0,4
3088,b7a19c5ac,Cat,Still Water,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,White,White,Medium,Short,No,No,No,Healthy,Kuala Lumpur,4,0,0,1.0,2
3089,7ed3e206a,Dog,Mochi,3,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,5.0,2
3090,c7c489413,Cat,Terry & Suzy,1,Domestic Short Hair,Domestic Short Hair,Male,Gray,White,White,Small,Short,No,No,No,Healthy,Selangor,2,0,0,9.0,1
3091,aac9127c5,Dog,BOY,12,Husky,German Shepherd Dog,Male,Black,Brown,Brown,Large,Medium,NA,NA,NA,Healthy,Selangor,1,0,0,1.0,2
3092,3c6f9a4e7,Cat,Still Water,1,Domestic Short Hair,Domestic Short Hair,Female,White,White,White,Small,Short,Yes,Yes,Yes,Healthy,Selangor,3,0,0,2.0,1
3093,271bb0de8,Dog,Chihuahua,12,Chihuahua,Chihuahua,Female,Gray,Gray,Gray,Small,Short,NA,NA,NA,Healthy,Kuala Lumpur,1,0,0,2.0,2
3094,14580436c,Dog,Mei Mei,18,Munsterlander,Munsterlander,Female,Brown,White,White,Medium,Medium,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,3.0,2
3095,f08275fdc,Dog,Choco,5,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Perak,1,0,0,3.0,2
3096,d9dcad5b4,Cat,Dearkitty,3,Domestic Long Hair,Domestic Short Hair,Mixed,Yellow,Cream,White,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,4,0,0,5.0,2
3097,7d7fddaed,Cat,Donny,2,Domestic Short Hair,Chartreux,Male,Black,Brown,Gray,Large,Short,No,No,No,Healthy,Selangor,3,0,0,4.0,1
3098,5242038c7,Dog,â¡ 3 Puppies â¡ Taman Bahagia LRT,2,Mixed Breed,Mixed Breed,Mixed,Black,Brown,White,Medium,Medium,Yes,Yes,No,Healthy,Selangor,3,0,0,20.0,3
3099,1f64d3191,Dog,Jessie,1,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Small,Short,No,No,No,Healthy,Selangor,1,0,0,2.0,4
3100,916165c1b,Cat,Brown Tabby Boy,1,Tabby,Domestic Short Hair,Male,Black,Brown,Gray,Medium,Short,No,Yes,No,Healthy,Selangor,1,50,0,5.0,1
3101,843910e74,Dog,Patch,36,Mixed Breed,Mixed Breed,Male,Black,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Pulau Pinang,1,0,0,4.0,2
3102,3cb6e5957,Cat,Jelita,12,Siamese,Balinese,Female,Brown,Cream,Cream,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,2.0,1
3103,f18d332de,Dog,Still Water,24,Mixed Breed,Mixed Breed,Male,Cream,Cream,Cream,Medium,Medium,NA,NA,NA,Healthy,Selangor,1,0,0,2.0,4
3104,35d860fe5,Dog,Cute Puppies Looking Forever Home~,3,Mixed Breed,Mixed Breed,Female,Black,Brown,Cream,Large,Short,NA,NA,No,Healthy,Kuala Lumpur,2,0,0,2.0,3
3105,0e47fe631,Cat,Siam Boy,1,Siamese,Siamese,Male,Brown,Gray,Gray,Large,Medium,NA,NA,NA,Healthy,Pulau Pinang,1,0,0,8.0,3
